"LETO","Zita","Meso","Jajca","Krompir","Zelenjava","Med","Riz","Sadje"
"2000",129.76,88.51,10.81,90.15,78.54,1.04,3.48,104.49
"2001",135.19,93.04,10.10,79.57,73.39,1.22,3.64,79.12
"2002",126.23,87.99,9.61,79.84,78.70,1.17,3.82,114.89
"2003",123.62,99.17,6.85,72.45,81.52,0.95,3.56,100.10
"2004",119.45,98.58,6.23,75.77,88.97,1.15,3.33,128.25
"2005",123.99,97.30,6.51,76.82,91.26,1.10,3.98,125.07
"2006",125.49,94.21,7.03,78.90,95.57,1.38,4.09,124.44
"2007",123.92,94.66,8.91,81.35,90.29,0.94,4.24,131.73
"2008",119.23,96.64,10.03,77.49,100.97,0.96,4.14,151.69
"2009",108.73,94.14,10.23,72.00,103.24,1.10,4.27,148.45
"2010",121.05,93.70,10.15,70.31,91.81,1.10,5.08,135.22
"2011",118.06,89.53,10.12,66.43,97.09,1.41,5.84,129.30
"2012",115.44,88.15,9.08,63.27,95.33,0.98,5.48,112.98
"2013",112.25,82.24,10.27,59.58,96.42,1.42,5.71,129.39
"2014",119.27,84.99,9.78,62.37,103.92,1.14,5.62,131.06
"2015",120.89,88.31,11.13,68.32,109.88,1.41,4.94,134.23
"2016",121.41,94.22,10.67,68.51,113.41,1.07,4.97,122.69
"2017",120.97,93.08,11.52,68.00,113.97,0.87,4.71,121.62
"2018",123.30,92.60,10.85,66.49,111.41,1.07,4.48,152.48
"2019",120.40,90.77,11.66,61.97,117.54,0.70,4.80,127.86
"2020",116.30,87.72,10.38,63.72,118.89,0.92,5.41,128.98
"2021",116.58,88.97,10.80,63.16,118.51,0.62,4.94,108.72
"2022",115.72,87.09,10.97,71.59,104.25,1.27,5.43,133.57
"2023",112.25,86.93,11.14,74.01,101.11,1.01,5.81,131.61
